drug,7_days,7_days_min,7_days_max,14_days,30_days
Halobetasol Prop 0.05% Foam,-341340,-347647,-335072,-599290,-773481
Amlodipine-Benazepril 10-20 Mg,9100,8973,9206,12948,26142
Pimecrolimus 1% Cream,-89317,-89317,-89317,-133136,-272555
Linzess 290 Mcg Capsule,210,210,210,420,900
Guanfacine 1 Mg Tablet,151498,151314,151679,263663,327943
Probenecid 500 Mg Tablet,22368,22368,22368,42212,121506
Desvenlafaxine Suc Er 50 Mg Tb,-1771,-1978,-1551,-3940,-5780
Vitafol Gummies,-34554,-34568,-34538,-61447,-43755
Seysara 100 Mg Tablet,57213,55733,58710,111103,152886
Promethazine 25 Mg Tablet,2084,2084,2084,4644,7230
Cimetidine 300 Mg Tablet,-18385,-18385,-18385,-29787,-24389
Quetiapine Fumarate 100 Mg Tab,9056,8995,9114,5901,-10909
Leena 28 Tablet,-945,-945,-945,-2914,-4409
Ropinirole Hcl 1 Mg Tablet,-8926,-8926,-8926,-5155,35017
Synthroid 50 Mcg Tablet,-42208,-43737,-40748,-102339,-156478
Doxazosin Mesylate 1 Mg Tab,-23192,-23192,-23192,-48897,-71522
Exelderm 1% Cream,7140,6905,7429,31909,128799
Zonisamide 100 Mg Capsule,15327,15280,15365,24783,46589
Nitrofurantoin Mcr 50 Mg Cap,6398,6389,6408,4849,-7258
Valsartan-Hydrochlorothiazide 160-25 Mg Tab,-3545,-3545,-3545,-5451,-43675
Bupropion Hcl 100 Mg Tablet,56636,55932,57365,91064,106454
Olanzapine 5 Mg Tablet,-9036,-9043,-9029,-21114,-46301
Doxycycline Mono 75 Mg Tablet,4547,4547,4547,13212,24744
Tolsura 65 Mg Capsule,203451,200408,206448,341357,413668
Benzonatate 100 Mg Capsule,6700,6700,6700,11965,15773
Desoximetasone 0.25% Ointment,6442,6442,6442,4890,-5751
Estrostep Fe-28 Tablet,-5636,-5636,-5636,-15663,-16989
Loestrin 21 1-20 Tablet,-1973,-2000,-1941,-4716,-8483
Sharobel 0.35 Mg Tablet,279957,276163,283593,424447,519052
Tadalafil 5mg,-168386,-174513,-162304,-313851,-405472
Ergotamine-Caffeine 1-100 Mg Tb,151,106,193,-495,-2639
Myzilra-28 Tablet,-8767,-9218,-8362,-5119,15955
Aripiprazole 2 Mg Tablet,-22992,-23235,-22743,-38359,-44706
Tadalafil 20 Mg Tablet,-6919,-7343,-6517,-10551,-11209
Drosp-Ee-Levomef 3-0.03-0.451,-97093,-97140,-97052,-217193,-344387
Toujeo Max Solostar 300 Unit/ml,-1555,-1555,-1554,-2884,-3377
Seysara 150 Mg Tablet,-10519,-10958,-10088,-15225,5868
Seysara 60 Mg Tablet,39645,38968,40227,64864,84819
Tadalafil Tab 5mg,1579,344,2770,-32572,-107777
Venlafaxine Hcl Er 150 Mg Tab,-744,-1140,-309,-6364,-23596
Levetiracetam 500 Mg Tablet,179133,178860,179398,341627,453390
Esomeprazole Mag Dr 40 Mg Cap,-7711,-7729,-7691,-15482,-22375
Olanzapine 15 Mg Tablet,12408,12195,12602,12052,-13270
Ximino Er 45 Mg Capsule,51789,51781,51796,105574,155169
Kaitlib Fe Chewable Tablet,1071,634,1598,13638,30155
Albuterol Sul Hfa 90 Mcg Inh,-5742,-5751,-5731,-9832,-4971
Synthroid 25 Mcg Tablet,-9725,-9725,-9724,-16150,2901
L-Methylfolate Calcium 15 Mg,210,210,210,420,900
Balcoltra Tablet,-23940,-23947,-23935,-29889,-22701
Synthroid 112 Mcg Tablet,-13681,-13683,-13679,-21867,-14361
Rizatriptan 10 Mg Odt,-9027,-9061,-8996,-18836,-23232
Prazosin 2 Mg Capsule,13329,13329,13329,9909,-5989
Buspirone Hcl 7.5 Mg Tablet,-17815,-18352,-17286,-22558,-18514
Doxycycline Mono 50 Mg Cap,-12749,-12751,-12747,-7070,-10811
Dapsone 25 Mg Tablet,28144,27954,28327,74036,152380
Tadalafil 10 Mg Tablet,6878,6265,7493,10709,12966
Divalproex Sod Dr 500 Mg Tab,-77475,-77480,-77471,-138942,-208789
Ketorolac 10 Mg Tablet,-2126,-2126,-2126,-4870,-9598
Jardiance 25 Mg Tablet,-3545,-3545,-3545,-8864,-12223
Timolol Maleate 0.5% Eye Drops,237,225,246,-1235,-6283
Pravastatin Sodium 10 Mg Tab,-4644,-4646,-4643,-12939,-28533
Sildenafil 25 Mg Tablet,-1100,-1201,-1006,-1458,2230
Trazodone 150 Mg Tablet,-5073,-5077,-5069,-9223,-6390
Exelderm 1% Solution,-5033,-5047,-5015,-11870,9648
Desvenlafaxine Suc Er 100 Mg,1857,1609,2084,2913,3429
Bupropion Hcl Sr 200 Mg Tablet,-20510,-21542,-19605,-16968,47124
Brilinta 90 Mg Tablet,3928,3928,3928,-2155,-17112
Suprax 400 Mg Capsule,-205,-207,-203,-458,-617
Gelnique 10% Gel Sachet,210,210,210,420,900
Rosuvastatin Calcium 5 Mg Tab,-6992,-7102,-6854,36373,164001
Fluoxetine Hcl 60 Mg Tablet,-1158,-1283,-1041,-2017,-1235
Buspirone Hcl 30 Mg Tablet,6496,6496,6496,5014,-7945
Transderm-Scop 1.5 Mg (1 Mg/3d),4048,4044,4052,7590,9727
Ajovy 225 Mg/1.5 Ml Syringe,-4062,-4062,-4062,-2181,3013
Aimovig 70 Mg/ml Autoinjector,-1143,-1143,-1142,-1224,-51
Topiramate 100 Mg Tablet,18091,17518,18634,35446,50136
"Vitamin B-12 1,000 Mcg Tablet",7420,7334,7512,24008,48560
Emgality 120 Mg/ml Pen,2174,2169,2178,2147,2175
Potassium Cl Er 10 Meq Tablet,84286,84286,84286,173633,249030
"Vitamin D3 2,000 Unit Tablet",1184,985,1349,2911,8272
Suboxone 8 Mg-2 Mg Sl Film,47294,45651,48836,41758,-40167
Cyclobenzaprine 5 Mg Tablet,15415,15248,15572,26315,36660
Buprenorphine 8 Mg Tablet Sl,41972,40694,43083,77039,126454
Aimovig 140 Mg/ml Autoinjector,115,60,178,124,-1735
Disulfiram 250 Mg Tablet,-22052,-22052,-22052,-34515,-26807
Stendra 100 Mg Tablet,26193,25757,26641,40112,44350
Sod Sulfacetamide-Sulfur Susp,210,210,210,420,900
Guanfacine Hcl Er 2 Mg Tablet,19334,19334,19334,47831,87952
Fluvoxamine Maleate 50 Mg Tab,8865,8865,8865,39208,106301
Synthroid 100 Mcg Tablet,-11798,-11901,-11702,-19469,-4290
Adapalene 0.1% Swab,-43252,-43476,-42984,-63411,-44872
Duobrii 0.01%-0.045% Lotion,-116003,-124504,-107310,-196171,-226077
Divalproex Sod Er 500 Mg Tab,4875,4869,4880,-9245,-48446
Estarylla 0.25-0.035 Mg Tablet,-6787,-6802,-6770,-11049,-8679
Pirmella 1-35-28 Tablet,20528,20528,20528,48274,68036
Nortriptyline Hcl 25 Mg Cap,22401,22227,22567,40241,54034
Amitriptyline Hcl 10 Mg Tab,-5383,-5535,-5226,-2066,9229
Lexette 0.05% Foam,40577,36426,44650,99445,158482
Paroxetine Hcl 30 Mg Tablet,210,210,210,420,900
Tadalafil 2.5 Mg Tablet,-265,-265,-265,-3306,-12937
Hyclodex 0.012% Spray Solution,-59872,-63254,-56123,-118208,-171490
Deblitane 0.35 Mg Tablet,356012,354967,357074,675301,894098
Medroxyprogesterone 10 Mg Tab,5656,5656,5656,12519,17553
Topiramate 25 Mg Tablet,13629,13609,13655,22370,18293
Drithocreme Hp 1% Cream,-28391,-29727,-26916,-82482,-176267
