drug,7_days,7_days_min,7_days_max,14_days,30_days
Trazodone 50 Mg Tablet,1876,1527,2229,5182,13624
Tretinoin 0.01% Gel,-12570,-12582,-12558,-40213,-136194
Tretinoin 0.025% Cream,907,-2532,4459,1790,4007
Tretinoin 0.025% Gel,-4013,-4094,-3841,-29457,-247471
Tretinoin 0.05% Cream,-393,-3921,3042,-1145,-1488
Tretinoin 0.05% Gel,-12790,-12962,-12634,-70296,-199362
Tretinoin 0.1% Cream,-1678,-2706,-649,-10388,-57704
Tretinoin Gel Micro 0.04% Pump,39960,39886,40008,148954,455574
Tretinoin Gel Micro 0.04% Tube,67711,67668,67788,107406,105049
Tretinoin Gel Micro 0.1% Tube,-9809,-9964,-9629,65644,385687
Tri-Estarylla Tablet,368,-55,789,1009,2880
Tri-Legest Fe-28 Day Tablet,-62,-730,623,-140,-522
Tri-Linyah Tablet,300,-110,702,534,551
Tri-Lo-Estarylla Tablet,-70517,-86978,-53663,-331401,-894605
Tri-Lo-Marzia Tablet,1598,-2940,6095,4605,15133
Tri-Lo-Sprintec Tablet,1484,-2119,5196,4026,14303
Tri-Luma Cream,1269,317,2203,2845,5560
Tri-Previfem Tablet,-404,-555,-256,-1088,58
Tri-Sprintec Tablet,7750,-4886,20556,17500,55165
Triamcinolone 0.025% Cream,1804,1803,1804,3445,5719
Triamcinolone 0.025% Oint,2576,2572,2578,4239,-5760
Triamcinolone 0.1% Cream,55,-119,232,163,483
Triamcinolone 0.1% Ointment,-1039,-1039,-1039,-2581,-6938
Triamcinolone 0.147 Mg/g Spray,-16493,-16533,-16448,-30272,-71009
Triamcinolone 0.5% Cream,164,163,165,-966,2219
Triamterene-Hydrochlorothiazide 37.5-25 Mg Cp,-535,-536,-534,-1902,-9780
Triamterene-Hydrochlorothiazide 75-50 Mg Tab,428,428,429,805,634
Trianex 0.05% Ointment,78081,78004,78150,214528,628579
Trinessa Lo Tablet,-22,-760,723,-246,-392
Trinessa Tablet,324,-347,994,1832,12144
Trivora-28 Tablet,74,-797,949,39,-478
Truvada 200 Mg-300 Mg Tablet,-14674,-37863,8433,-36293,-105444
Ultravate 0.05% Lotion,-355,-795,31,-608,-3386
Urea 20% Cream,284,284,284,1024,-749
Urea 40% Cream,-2438,-2438,-2438,-18013,-71615
Ursodiol 300 Mg Capsule,6620,6617,6623,14913,83593
Utopic 41% Cream,1983,-4891,8749,4366,14049
Valacyclovir Hcl 1 Gram Tablet,2387,-1559,6341,4740,11324
Valacyclovir Hcl 500 Mg Tablet,205,-691,1090,496,1796
Valsartan 80 Mg Tablet,6781,6771,6791,13869,15788
Valsartan-Hydrochlorothiazide 160-25 Mg Tab,-18852,-18852,-18850,-54738,-129919
Velivet 28 Day Tablet,7,-692,685,-45,-546
Veltin 1.2 %-0.025 % Gel,-11009,-11104,-10931,17779,163464
Veltin 1.2%-0.025% Gel,-53600,-53794,-53435,-95970,-132981
Venlafaxine Hcl 37.5 Mg Tablet,6518,6502,6539,19795,94576
Venlafaxine Hcl 75 Mg Tablet,1216,1211,1219,2299,5361
Venlafaxine Hcl Er 150 Mg Cap,478,278,682,1050,2014
Venlafaxine Hcl Er 150 Mg Tab,-18345,-18387,-18302,-60735,-206069
Venlafaxine Hcl Er 37.5 Mg Cap,-1186,-1855,-510,-5447,-15700
Venlafaxine Hcl Er 75 Mg Cap,784,240,1329,1662,-6595
Ventolin Hfa 90 Mcg Inhaler,59,6,114,136,302
Verdeso 0.05% Foam,-468,-468,-468,141,6500
Veregen 15% Ointment,5044,5044,5044,9874,29070
Vesicare 5 Mg Tablet,21233,21233,21233,45001,14980
Vestura 3 Mg-0.02 Mg Tablet,-665,-1443,129,-3285,-9385
Viagra 100 Mg Tablet,-1108,-1129,-1094,-2613,-3723
Viagra 25 Mg Tablet,-1247,-1249,-1245,1469,27647
Viagra 50 Mg Tablet,1541,1427,1659,6422,33326
Victoza 2-Pak 18 Mg/3 Ml Pen,2987,2986,2988,13546,33676
Victoza 3-Pak 18 Mg/3 Ml Pen,134,134,134,-4490,-29391
Vienva-28 Tablet,-4858,-16818,7017,-18871,-102509
Viorele 28 Day Tablet,1083,-1258,3286,3048,7630
"Vit D2 1.25 Mg (50,000 Unit)",797,713,885,4773,28501
Vitafol Gummies,429,428,430,929,2264
"Vitamin B-12 1,000 Mcg Tablet",402,396,408,638,1303
"Vitamin D3 2,000 Unit Softgel",4168,4166,4169,9094,12690
"Vitamin D3 2,000 Unit Tablet",-16,-16,-16,25,385
"Vitamin D3 5,000 Unit Capsule",3122,3098,3141,6241,32523
"Vitamin D3 50,000 Units Caps",398,397,398,60,-4371
Vytone Cream Packet,2398,-2258,7182,5205,13615
Warfarin Sodium 1 Mg Tablet,-194,-195,-194,-284,1212
Warfarin Sodium 5 Mg Tablet,9921,9921,9921,31169,36626
Wera 0.5/0.035 Mg 28 Tablet,0,-566,568,-238,-5530
Xalix 28% Solution,-4090,-4281,-3877,-4461,15037
Xarelto 20 Mg Tablet,6878,6867,6887,23153,16860
Xerese 5%-1% Cream,-57357,-57358,-57357,-13557,35047
Xiidra 5% Eye Drops,8639,8630,8646,7453,-77616
Ximino Er 45 Mg Capsule,12603,12563,12644,40967,159854
Ximino Er 90 Mg Capsule,-56937,-57829,-55972,-221354,-6715
Xolegel 2% Gel,-3121,-3141,-3102,-8078,-11256
Xulane Patch,-13940,-24405,-3542,-29611,-70399
Yasmin 28 Tablet,32,-353,433,70,286
Yaz 28 Tablet,-69,-1499,1367,-126,-347
Zarah Tablet,-380,-7870,6915,-925,-2299
Ziana Gel,83380,83293,83450,304915,715700
Zolpidem Tart Er 12.5 Mg Tab,-2356,-2361,-2352,-7909,590
Zolpidem Tartrate 10 Mg Tablet,214,213,214,466,-427
Zolpidem Tartrate 5 Mg Tablet,3706,3702,3713,8199,291
Zomig 5 Mg Nasal Spray,-127,-127,-127,-525,1857
Zonisamide 100 Mg Capsule,458,457,459,956,3833
Zovia 1-35e Tablet,-341,-2065,1350,-954,-1225
Zovia 1-50e Tablet,690,650,725,2107,8149
Zyclara 3.75% Cream,26692,26692,26692,57791,94277
Zyclara 3.75% Cream Pump,4420,4417,4420,14415,1193
